Filename	Platform	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	Per base sequence quality	Sequence Duplication Levels	Total Deduplicated Percentage	Overrepresented sequences	Adapter Content
E100015864_L01_93_2.fq.gz	BGI	49347762	0	150	44	pass	pass	83.0	pass	pass
E100013108_L01_41_2.fq.gz	BGI	40815686	0	150	46	pass	pass	84.0	pass	pass
E100013118_L01_87_2.fq.gz	BGI	36216666	0	150	45	pass	pass	92.0	pass	pass
E100015864_L01_45_2.fq.gz	BGI	47248822	0	150	46	pass	pass	88.0	pass	pass
E100010924_L01_68_2.fq.gz	BGI	73428321	0	150	47	pass	pass	81.0	pass	pass
E100013104_L01_91_2.fq.gz	BGI	106210607	0	150	44	pass	warn	57.0	pass	pass
E100016770_L01_38_2.fq.gz	BGI	53436334	0	150	44	pass	pass	81.0	pass	pass
E100015864_L01_97_2.fq.gz	BGI	67771952	0	150	46	pass	pass	78.0	pass	pass
E100009887_L01_95_2.fq.gz	BGI	53921310	0	150	46	pass	pass	74.0	pass	pass
E100013123_L01_97_2.fq.gz	BGI	25464679	0	150	43	pass	pass	81.0	pass	pass
E100013189_L01_94_2.fq.gz	BGI	57998765	0	150	50	pass	pass	74.0	pass	pass
E100013118_L01_97_2.fq.gz	BGI	75726414	0	150	46	pass	pass	84.0	pass	pass
E100015864_L01_99_2.fq.gz	BGI	89370043	0	150	46	pass	warn	65.0	pass	pass
E100013458_L01_86_2.fq.gz	BGI	60492270	0	150	44	pass	pass	81.0	pass	pass
E100013106_L01_13_2.fq.gz	BGI	65225512	0	150	43	pass	pass	79.0	pass	pass
E100013123_L01_36_2.fq.gz	BGI	19268517	0	150	43	pass	pass	77.0	pass	pass
E100013118_L01_13_2.fq.gz	BGI	51386448	0	150	45	pass	pass	91.0	pass	pass
E100009727_L01_45_2.fq.gz	BGI	89273145	0	150	46	pass	warn	56.0	pass	pass
E100013465_L01_37_2.fq.gz	BGI	53319050	0	150	46	pass	pass	82.0	pass	pass
E100013458_L01_104_2.fq.gz	BGI	54085005	0	150	45	pass	warn	68.0	pass	pass
E100013458_L01_100_2.fq.gz	BGI	73485430	0	150	43	pass	pass	78.0	pass	pass
E100013118_L01_3_2.fq.gz	BGI	35033825	0	150	45	pass	pass	94.0	pass	pass
E100013117_L01_3_2.fq.gz	BGI	50578125	0	150	42	pass	pass	77.0	pass	pass
E100016770_L01_121_2.fq.gz	BGI	62579160	0	150	47	pass	pass	79.0	pass	pass
E100013118_L01_49_2.fq.gz	BGI	43982278	0	150	42	pass	pass	91.0	pass	pass
E100013123_L01_50_2.fq.gz	BGI	21408337	0	150	43	pass	pass	82.0	pass	pass
E100009678_L01_48_2.fq.gz	BGI	66710414	0	150	43	pass	pass	72.0	pass	pass
E100009887_L01_114_2.fq.gz	BGI	59620943	0	150	47	pass	pass	77.0	pass	pass
E100016768_L01_55_2.fq.gz	BGI	48668618	0	150	43	pass	pass	77.0	pass	pass
E100016768_L01_50_2.fq.gz	BGI	47542925	0	150	45	pass	warn	69.0	pass	pass
E100013106_L01_62_2.fq.gz	BGI	46438906	0	150	44	pass	pass	80.0	pass	pass
E100009678_L01_88_2.fq.gz	BGI	69649789	0	150	45	pass	pass	74.0	pass	pass
E100013123_L01_116_2.fq.gz	BGI	40444422	0	150	48	pass	pass	78.0	pass	pass
E100010953_L01_95_2.fq.gz	BGI	26089690	0	150	46	pass	pass	87.0	pass	pass
E100013189_L01_45_2.fq.gz	BGI	76858320	0	150	47	pass	pass	82.0	pass	pass
E100009678_L01_36_2.fq.gz	BGI	52752519	0	150	46	pass	warn	54.0	pass	pass
E100009678_L01_46_2.fq.gz	BGI	56663889	0	150	46	pass	pass	81.0	pass	pass
E100016707_L01_125_2.fq.gz	BGI	62795159	0	150	48	pass	pass	89.0	pass	pass
E100010953_L01_127_2.fq.gz	BGI	32330629	0	150	46	pass	pass	88.0	pass	pass
E100009772A_L01_30_2.fq.gz	BGI	49608998	0	150	45	pass	pass	76.0	pass	pass
E100013189_L01_48_2.fq.gz	BGI	38829484	0	150	46	pass	pass	83.0	pass	pass
E100015864_L01_73_2.fq.gz	BGI	70268845	0	150	47	pass	pass	80.0	pass	pass
E100010924_L01_46_2.fq.gz	BGI	48705190	0	150	47	pass	pass	88.0	pass	pass
E100010235_L01_16_2.fq.gz	BGI	71774141	0	150	45	pass	pass	83.0	pass	pass
E100010924_L01_29_2.fq.gz	BGI	51307186	0	150	47	pass	pass	84.0	pass	pass
E100009772A_L01_125_2.fq.gz	BGI	46546980	0	150	46	pass	pass	80.0	pass	pass
E100010235_L01_95_2.fq.gz	BGI	54897408	0	150	46	pass	pass	79.0	pass	pass
E100016770_L01_128_2.fq.gz	BGI	56715034	0	150	47	pass	pass	83.0	pass	pass
E100010235_L01_25_2.fq.gz	BGI	56512035	0	150	45	pass	pass	82.0	pass	pass
E100009678_L01_44_2.fq.gz	BGI	44485422	0	150	42	pass	pass	81.0	pass	pass
E100013421_L01_3_2.fq.gz	BGI	88894500	0	150	45	pass	pass	82.0	pass	pass
E100007551_L01_39_2.fq.gz	BGI	31445828	0	150	43	pass	pass	72.0	pass	pass
E100012874_L01_104_2.fq.gz	BGI	54236532	0	150	46	pass	warn	67.0	pass	pass
E100010924_L01_34_2.fq.gz	BGI	44193112	0	150	47	pass	pass	86.0	pass	pass
E100013465_L01_56_2.fq.gz	BGI	21868595	0	150	45	pass	pass	84.0	pass	pass
E100009887_L01_63_2.fq.gz	BGI	77855267	0	150	45	pass	warn	61.0	pass	pass
E100013458_L01_94_2.fq.gz	BGI	44381294	0	150	46	pass	warn	66.0	pass	pass
E100013118_L01_62_2.fq.gz	BGI	52193757	0	150	45	pass	pass	87.0	pass	pass
E100016770_L01_49_2.fq.gz	BGI	52922451	0	150	45	pass	pass	83.0	pass	pass
E100016707_L01_73_2.fq.gz	BGI	57932085	0	150	44	pass	pass	76.0	pass	pass
E100010953_L01_125_2.fq.gz	BGI	31975681	0	150	48	pass	pass	92.0	pass	pass
E100016768_L01_114_2.fq.gz	BGI	53956022	0	150	44	pass	pass	74.0	pass	pass
E100013108_L01_104_2.fq.gz	BGI	66092341	0	150	45	pass	pass	70.0	pass	pass
E100013135_L01_3_2.fq.gz	BGI	79694327	0	150	44	pass	pass	81.0	pass	pass
E100013189_L01_43_2.fq.gz	BGI	58968504	0	150	46	pass	pass	81.0	pass	pass
E100015864_L01_87_2.fq.gz	BGI	52553404	0	150	47	pass	pass	72.0	pass	pass
E100009772A_L01_115_2.fq.gz	BGI	54437074	0	150	48	pass	pass	82.0	pass	pass
E100013118_L01_125_2.fq.gz	BGI	41366945	0	150	45	pass	pass	86.0	pass	pass
E100009887_L01_25_2.fq.gz	BGI	50790932	0	150	47	pass	pass	74.0	pass	pass
E100013108_L01_90_2.fq.gz	BGI	42332924	0	150	44	pass	pass	82.0	pass	pass
E100013118_L01_88_2.fq.gz	BGI	49120401	0	150	47	pass	pass	92.0	pass	pass
E100009678_L01_15_2.fq.gz	BGI	70125931	0	150	46	pass	pass	81.0	pass	pass
E100013104_L01_98_2.fq.gz	BGI	110186907	0	150	43	pass	fail	43.0	pass	pass
E100013118_L01_101_2.fq.gz	BGI	58267819	0	150	46	pass	pass	92.0	pass	pass
E100013465_L01_33_2.fq.gz	BGI	44355448	0	150	46	pass	pass	85.0	pass	pass
E100013118_L01_38_2.fq.gz	BGI	50123778	0	150	45	pass	pass	88.0	pass	pass
E100013106_L01_88_2.fq.gz	BGI	64826413	0	150	44	pass	pass	70.0	pass	pass
E100013189_L01_33_2.fq.gz	BGI	38593336	0	150	45	pass	pass	85.0	pass	pass
E100016768_L01_85_2.fq.gz	BGI	44127333	0	150	44	pass	pass	86.0	pass	pass
E100009772A_L01_4_2.fq.gz	BGI	45129125	0	150	45	pass	pass	86.0	pass	pass
E100013128_L01_96_2.fq.gz	BGI	22607211	0	150	43	pass	pass	72.0	pass	pass
E100009887_L01_122_2.fq.gz	BGI	75314670	0	150	45	pass	warn	63.0	pass	pass
E100013106_L01_71_2.fq.gz	BGI	102362083	0	150	46	pass	warn	64.0	pass	pass
E100013189_L01_74_2.fq.gz	BGI	45579004	0	150	44	pass	pass	82.0	pass	pass
E100013117_L01_65_2.fq.gz	BGI	55755581	0	150	44	pass	pass	75.0	pass	pass
E100013421_L01_90_2.fq.gz	BGI	49521651	0	150	44	pass	warn	68.0	pass	pass
E100013421_L01_73_2.fq.gz	BGI	102824068	0	150	48	pass	pass	77.0	pass	pass
E100016770_L01_42_2.fq.gz	BGI	53834731	0	150	50	pass	pass	85.0	pass	pass
E100016707_L01_45_2.fq.gz	BGI	49518547	0	150	48	pass	pass	87.0	pass	pass
E100013117_L01_114_2.fq.gz	BGI	60960138	0	150	45	pass	warn	64.0	pass	pass
E100013106_L01_53_2.fq.gz	BGI	75340361	0	150	44	pass	pass	70.0	pass	pass
E100010924_L01_43_2.fq.gz	BGI	74846255	0	150	47	pass	pass	77.0	pass	pass
E100016768_L01_3_2.fq.gz	BGI	43047726	0	150	41	pass	pass	80.0	pass	pass
E100013117_L01_123_2.fq.gz	BGI	57524933	0	150	45	pass	pass	86.0	pass	pass
E100010235_L01_61_2.fq.gz	BGI	58533353	0	150	48	pass	pass	82.0	pass	pass
E100013135_L01_117_2.fq.gz	BGI	70370319	0	150	47	pass	pass	77.0	pass	pass
E100013100_L01_48_2.fq.gz	BGI	96196448	0	150	41	pass	warn	66.0	pass	pass
E100016770_L01_33_2.fq.gz	BGI	55474354	0	150	46	pass	warn	67.0	pass	pass
E100013106_L01_90_2.fq.gz	BGI	56303908	0	150	44	pass	warn	69.0	pass	pass
E100013117_L01_67_2.fq.gz	BGI	54708669	0	150	44	pass	pass	78.0	pass	pass
E100016707_L01_55_2.fq.gz	BGI	60048180	0	150	47	pass	pass	88.0	pass	pass
E100009727_L01_42_2.fq.gz	BGI	71886558	0	150	45	pass	pass	70.0	pass	pass
E100015864_L01_35_2.fq.gz	BGI	81380924	0	150	45	pass	warn	54.0	pass	pass
E100013108_L01_127_2.fq.gz	BGI	51928955	0	150	44	pass	pass	83.0	pass	pass
E100015864_L01_77_2.fq.gz	BGI	55593986	0	150	46	pass	pass	88.0	pass	pass
E100007551_L01_28_2.fq.gz	BGI	41061329	0	150	44	pass	pass	73.0	pass	pass
E100013421_L01_70_2.fq.gz	BGI	36051480	0	150	46	pass	pass	86.0	pass	pass
E100016707_L01_90_2.fq.gz	BGI	57469291	0	150	46	pass	pass	79.0	pass	pass
E100009678_L01_30_2.fq.gz	BGI	59769013	0	150	46	pass	pass	79.0	pass	pass
E100013108_L01_97_2.fq.gz	BGI	43636329	0	150	44	pass	pass	71.0	pass	pass
E100007551_L01_80_2.fq.gz	BGI	21404259	0	150	45	pass	pass	92.0	pass	pass
E100009727_L01_72_2.fq.gz	BGI	53910800	0	150	43	pass	pass	76.0	pass	pass
E100015864_L01_15_2.fq.gz	BGI	52307955	0	150	48	pass	warn	69.0	pass	pass
E100016707_L01_117_2.fq.gz	BGI	57679352	0	150	47	pass	pass	90.0	pass	pass
E100013123_L01_42_2.fq.gz	BGI	23358037	0	150	44	pass	pass	89.0	pass	pass
E100010924_L01_41_2.fq.gz	BGI	65694949	0	150	46	pass	pass	76.0	pass	pass
E100016768_L01_42_2.fq.gz	BGI	51030918	0	150	44	pass	pass	76.0	pass	pass
E100009678_L01_68_2.fq.gz	BGI	54796947	0	150	48	pass	pass	76.0	pass	pass
E100013100_L01_126_2.fq.gz	BGI	65405486	0	150	46	pass	pass	85.0	pass	pass
E100016770_L01_62_2.fq.gz	BGI	44391641	0	150	48	pass	pass	81.0	pass	pass
E100009772A_L01_122_2.fq.gz	BGI	43578374	0	150	44	pass	pass	89.0	pass	pass
E100010235_L01_102_2.fq.gz	BGI	67432299	0	150	46	pass	pass	84.0	pass	pass
E100013108_L01_29_2.fq.gz	BGI	33771301	0	150	44	pass	pass	85.0	pass	pass
E100016768_L01_26_2.fq.gz	BGI	57196491	0	150	46	pass	pass	84.0	pass	pass
E100007551_L01_83_2.fq.gz	BGI	65026859	0	150	47	pass	pass	71.0	pass	pass
E100013104_L01_87_2.fq.gz	BGI	26035572	0	150	44	pass	pass	80.0	pass	pass
E100016768_L01_46_2.fq.gz	BGI	41198098	0	150	44	pass	pass	87.0	pass	pass
E100010924_L01_2_2.fq.gz	BGI	51476658	0	150	45	pass	pass	85.0	pass	pass
E100015864_L01_124_2.fq.gz	BGI	47535007	0	150	47	pass	pass	87.0	pass	pass
E100016770_L01_73_2.fq.gz	BGI	50851332	0	150	46	pass	pass	79.0	pass	pass
E100013135_L01_13_2.fq.gz	BGI	113590074	0	150	46	pass	warn	59.0	pass	pass
E100016707_L01_122_2.fq.gz	BGI	55976430	0	150	47	pass	pass	88.0	pass	pass
E100013465_L01_48_2.fq.gz	BGI	26760247	0	150	42	pass	pass	90.0	pass	pass
E100010235_L01_86_2.fq.gz	BGI	95430751	0	150	47	pass	warn	66.0	pass	pass
E100013421_L01_125_2.fq.gz	BGI	67742605	0	150	43	pass	pass	78.0	pass	pass
E100013189_L01_89_2.fq.gz	BGI	45381289	0	150	45	pass	pass	81.0	pass	pass
E100013189_L01_65_2.fq.gz	BGI	39877424	0	150	45	pass	warn	60.0	pass	pass
E100010924_L01_103_2.fq.gz	BGI	53213710	0	150	46	pass	pass	80.0	pass	pass
E100010924_L01_93_2.fq.gz	BGI	51694812	0	150	47	pass	pass	83.0	pass	pass
E100010953_L01_92_2.fq.gz	BGI	92036914	0	150	45	pass	pass	80.0	pass	pass
E100015864_L01_39_2.fq.gz	BGI	54604452	0	150	46	pass	warn	59.0	pass	pass
E100009887_L01_78_2.fq.gz	BGI	77952015	0	150	46	pass	pass	77.0	pass	pass
E100016770_L01_36_2.fq.gz	BGI	48540190	0	150	44	pass	pass	82.0	pass	pass
E100013124_L01_85_2.fq.gz	BGI	39428536	0	150	41	pass	pass	89.0	pass	pass
E100010953_L01_98_2.fq.gz	BGI	31079880	0	150	48	pass	pass	91.0	pass	pass
E100013104_L01_70_2.fq.gz	BGI	24497227	0	150	46	pass	pass	91.0	pass	pass
E100012874_L01_75_2.fq.gz	BGI	58020161	0	150	45	pass	pass	87.0	pass	pass
E100013123_L01_68_2.fq.gz	BGI	20873010	0	150	46	pass	pass	93.0	pass	pass
E100013118_L01_72_2.fq.gz	BGI	50108505	0	150	46	pass	pass	93.0	pass	pass
E100013108_L01_67_2.fq.gz	BGI	46215165	0	150	44	pass	pass	82.0	pass	pass
E100009772A_L01_65_2.fq.gz	BGI	71413605	0	150	44	pass	warn	67.0	pass	pass
E100013118_L01_28_2.fq.gz	BGI	59239883	0	150	46	pass	pass	88.0	pass	pass
E100009678_L01_92_2.fq.gz	BGI	55101071	0	150	45	pass	pass	78.0	pass	pass
E100013465_L01_102_2.fq.gz	BGI	73361975	0	150	48	pass	pass	74.0	pass	pass
E100009727_L01_62_2.fq.gz	BGI	36667249	0	150	43	pass	pass	80.0	pass	pass
E100009727_L01_91_2.fq.gz	BGI	30176395	0	150	44	pass	pass	85.0	pass	pass
E100013189_L01_78_2.fq.gz	BGI	98118273	0	150	47	pass	pass	70.0	pass	pass
E100016770_L01_70_2.fq.gz	BGI	51288728	0	150	48	pass	pass	88.0	pass	pass
E100013124_L01_29_2.fq.gz	BGI	43683914	0	150	43	pass	pass	85.0	pass	pass
E100007551_L01_87_2.fq.gz	BGI	28703557	0	150	45	pass	pass	93.0	pass	pass
E100013189_L01_68_2.fq.gz	BGI	104491262	0	150	48	pass	pass	75.0	pass	pass
E100009727_L01_101_2.fq.gz	BGI	108762563	0	150	45	pass	pass	79.0	pass	pass
E100013123_L01_25_2.fq.gz	BGI	19541617	0	150	43	pass	pass	90.0	pass	pass
E100015864_L01_68_2.fq.gz	BGI	49884015	0	150	48	pass	pass	78.0	pass	pass
E100013104_L01_95_2.fq.gz	BGI	30951751	0	150	44	pass	pass	89.0	pass	pass
E100013458_L01_25_2.fq.gz	BGI	53571692	0	150	48	pass	pass	86.0	pass	pass
E100013124_L01_44_2.fq.gz	BGI	24247514	0	150	43	pass	pass	78.0	pass	pass
E100013118_L01_2_2.fq.gz	BGI	65809985	0	150	44	pass	pass	83.0	pass	pass
E100013458_L01_97_2.fq.gz	BGI	63994422	0	150	46	pass	pass	84.0	pass	pass
