E100010235_L01_44_1_fastqc;V7OJZJ
E100013108_L01_28_1_fastqc;V7OQ6K
E100010953_L01_87_1_fastqc;V7OWGM
E100016707_L01_30_1_fastqc;V7P0DC
E100016707_L01_102_1_fastqc;V7QAH0
E100009887_L01_104_1_fastqc;V7QC6G
E100013128_L01_128_1_fastqc;V7QQFG
E100012874_L01_39_1_fastqc;V7R14R
E100013128_L01_25_1_fastqc;V7RTZY
E100013124_L01_98_1_fastqc;V7RW2S
E100009772A_L01_95_1_fastqc;V7S9L3
E100016768_L01_91_1_fastqc;V7SA3J
E100007551_L01_87_1_fastqc;V7SILO
E100016768_L01_64_1_fastqc;V7SOO2
E100013104_L01_63_1_fastqc;V7U5FH
E100009678_L01_43_1_fastqc;V7UCXM
E100016707_L01_122_1_fastqc;V7VDAG
E100016707_L01_61_1_fastqc;V7WXC4
E100013108_L01_127_1_fastqc;V7WYEK
E100009887_L01_78_1_fastqc;V7Z87V
E100013108_L01_58_1_fastqc;V81G8X
E100016707_L01_89_1_fastqc;V83E8E
E100009887_L01_35_1_fastqc;V83J8S
E100009678_L01_2_1_fastqc;V840ET
E100010235_L01_60_1_fastqc;V86C7X
E100016770_L01_117_1_fastqc;V86YNU
E100013189_L01_33_1_fastqc;V87R7C
E100012874_L01_81_1_fastqc;V88BZU
E100010953_L01_64_1_fastqc;V88HBJ
E100013117_L01_78_1_fastqc;V89PC5
E100015864_L01_121_1_fastqc;V89RUE
E100015864_L01_72_1_fastqc;V8A6PN
E100013421_L01_88_1_fastqc;V8A98P
E100007551_L01_83_1_fastqc;V8B7AS
E100009678_L01_36_1_fastqc;V8BF42
E100010924_L01_39_1_fastqc;V8D7YS
E100016707_L01_114_1_fastqc;V8DTN6
E100013458_L01_91_1_fastqc;V8DUSF
E100013104_L01_97_1_fastqc;V8EA78
E100010924_L01_3_1_fastqc;V8EITX
E100013421_L01_125_1_fastqc;V8F17Q
E100013135_L01_46_1_fastqc;V8F1JC
E100013108_L01_41_1_fastqc;V8FXNG
E100013421_L01_1_1_fastqc;V8GA84
E100010953_L01_41_1_fastqc;V8GRSX
E100010953_L01_32_1_fastqc;V8HDFI
E100009887_L01_32_1_fastqc;V8I8N1
E100013118_L01_16_1_fastqc;V8IY68
E100010235_L01_48_1_fastqc;V8IZTN
E100013128_L01_117_1_fastqc;V8J4MU
E100009727_L01_16_1_fastqc;V8J895
E100012874_L01_48_1_fastqc;V8K3YM
E100009678_L01_84_1_fastqc;V8L57V
E100010235_L01_35_1_fastqc;V8L9OK
E100015864_L01_116_1_fastqc;V8M1K2
E100010235_L01_65_1_fastqc;V8MITO
E100015864_L01_88_1_fastqc;V8NRLG
E100009727_L01_4_1_fastqc;V8ODQ7
E100013124_L01_103_1_fastqc;V8PAF4
E100013189_L01_71_1_fastqc;V8Q521
E100013128_L01_34_1_fastqc;V8QAVH
E100013458_L01_57_1_fastqc;V8QFOK
E100013108_L01_30_1_fastqc;V8QO3N
E100009887_L01_56_1_fastqc;V8R1TD
E100013100_L01_60_1_fastqc;V8R4AG
E100013123_L01_60_1_fastqc;V8R4AG
E100013189_L01_72_1_fastqc;V8RHG3
E100013117_L01_128_1_fastqc;V8RU1D
E100012874_L01_64_1_fastqc;V8SX5M
E100010924_L01_78_1_fastqc;V8WCPE
E100016768_L01_58_1_fastqc;V8X023
E100013421_L01_32_1_fastqc;V8XAUP
E100009772A_L01_26_1_fastqc;V8XI8Q
E100013124_L01_53_1_fastqc;V8XMND
E100010924_L01_33_1_fastqc;V8Y03S
E100013106_L01_74_1_fastqc;V9072B
E100016707_L01_69_1_fastqc;V90RVA
E100013106_L01_78_1_fastqc;V919Q2
E100013128_L01_79_1_fastqc;V92CZ1
E100013108_L01_60_1_fastqc;V9381G
E100016770_L01_126_1_fastqc;V942L6
E100010924_L01_72_1_fastqc;V944TO
E100013118_L01_74_1_fastqc;V95KM2
E100012874_L01_45_1_fastqc;V964S0
E100016768_L01_98_1_fastqc;V96QEP
E100016768_L01_41_1_fastqc;V96VVO
E100013104_L01_61_1_fastqc;V97EBU
E100013106_L01_127_1_fastqc;V97J9Z
E100010953_L01_61_1_fastqc;V98RCE
E100013124_L01_128_1_fastqc;V9930Y
E100010953_L01_55_1_fastqc;V99AA5
E100013458_L01_58_1_fastqc;V9B933
E100013128_L01_75_1_fastqc;V9CUTJ
E100013117_L01_67_1_fastqc;V9CZ1H
E100009772A_L01_35_1_fastqc;V9DHHW
E100013128_L01_42_1_fastqc;V9DYXM
E100010235_L01_124_1_fastqc;V9E4VW
E100013108_L01_16_1_fastqc;V9E7KF
E100016707_L01_4_1_fastqc;V9EN4M
E100013124_L01_4_1_fastqc;V9GGFQ
E100016707_L01_117_1_fastqc;V9GL9Z
E100013104_L01_77_1_fastqc;V9GP2F
E100009727_L01_62_1_fastqc;V9GZZQ
E100013465_L01_81_1_fastqc;V9HGKF
E100013458_L01_104_1_fastqc;V9HJCC
E100010924_L01_47_1_fastqc;V9I1IC
E100016768_L01_25_1_fastqc;V9I1JH
